game_id,jg_result,jg_matchup,jg_k,jg_a,jg_d,jg_cs,jg_op_cs,jg_gold,jg_damage,jg_matchup_strength,top_result,top_matchup,top_k,top_a,top_d,top_cs,top_op_cs,top_gold,top_damage,top_matchup_strength,mid_result,mid_matchup,mid_k,mid_a,mid_d,mid_cs,mid_op_cs,mid_gold,mid_damage,mid_matchup_strength,bot_result,bot_matchup,bot_k,bot_a,bot_d,bot_cs,bot_op_cs,bot_gold,bot_damage,bot_matchup_strength,sup_result,sup_matchup,sup_k,sup_a,sup_d,sup_cs,sup_op_cs,sup_gold,sup_damage,sup_matchup_strength
1094227,blue loss,"Trundle , Olaf",1.625,10.875,1.25,84.66666666666667,95.33333333333333,10537.0,3535.6666666666665,6.0,blue loss,"Kennen , Jayce",1.0,10.5,2.5,108.5,126.5,11747.0,10683.5,-6.0,blue loss,"Zoe , LeBlanc",3.3333333333333335,5.0,1.3333333333333333,129.5,135.0,12990.5,16147.0,-2.0,blue loss,"Sivir , Sona",3.5,6.125,0.75,141.0,50.0,17206.14285714286,24578.714285714286,-6.0,blue loss,"Yuumi , Tahm Kench",1.0,11.714285714285714,0.2857142857142857,4.571428571428571,64.57142857142857,9236.857142857143,14615.142857142857,6.0
1092372,blue win,"Sejuani , Jarvan IV",2.3333333333333335,10.25,0.6666666666666666,88.44444444444444,87.0,11030.0,7369.666666666667,-4.0,blue win,"Kennen , Rumble",4.0,5.333333333333333,2.1666666666666665,133.5,123.0,13102.5,14754.75,8.0,blue win,"Orianna , Azir",2.5,8.0,1.5,135.5,135.0,14294.5,15152.0,0.0,blue win,"Sivir , Xayah",4.444444444444445,6.481481481481482,0.6296296296296297,140.94736842105263,128.0,14864.894736842105,15417.842105263158,-2.0,blue win,"Yuumi , Rakan",0.75,9.25,0.25,4.166666666666667,6.666666666666667,8357.666666666666,8659.5,2.0
1130754,blue win,"Lee Sin , Olaf",2.7,7.6,1.5,82.125,87.5,11447.5,6688.875,6.0,blue win,"Sylas , Neeko",3.111111111111111,6.222222222222222,2.111111111111111,132.2,127.0,14482.2,14610.8,2.0,blue win,"Zoe , Syndra",4.0,6.0,3.0,137.0,129.0,15546.0,16919.0,0.0,blue win,"Xayah , Sivir",5.0,5.178571428571429,0.8214285714285714,139.28571428571428,133.52380952380952,17097.904761904763,16446.14285714286,2.0,blue win,"Rakan , Lux",0.6666666666666666,9.88888888888889,2.6666666666666665,6.0,6.888888888888889,8840.444444444445,4118.111111111111,-10.0
1133335,blue loss,"Rek'Sai , Jarvan IV",3.0555555555555554,6.833333333333333,1.3333333333333333,97.58333333333333,83.0,12869.583333333334,8666.25,12.0,blue loss,"Renekton , Ryze",2.75,6.5,1.25,139.0,112.0,13935.0,9359.0,0.0,blue loss,"Zoe , Corki",3.0,6.8,1.0,140.4,138.8,13232.2,17543.2,8.0,blue loss,"Lucian , Ashe",3.5,7.0,1.0,147.5,149.5,16340.0,15078.5,2.0,blue loss,"Nautilus , Tahm Kench",0.75,9.375,2.875,26.166666666666668,32.333333333333336,8197.666666666666,4206.5,0.0
1092086,blue win,"Trundle , Skarner",4.0,5.0,0.0,80.0,97.0,10155.0,7846.0,-2.0,blue win,"Viktor , Neeko",3.5,4.25,1.5,132.66666666666666,130.0,12628.666666666666,17715.0,4.0,blue win,"Renekton , Irelia",4.25,4.125,1.375,137.4,124.2,12871.0,10935.2,2.0,blue win,"Sivir , Lucian",5.0,8.625,1.75,141.5,133.5,13184.5,13062.75,-16.0,blue win,"Lux , Tahm Kench",1.0,11.125,1.0833333333333333,6.666666666666667,28.933333333333334,8279.2,7132.0,2.0
1102260,blue win,"Rek'Sai , Jarvan IV",3.0555555555555554,6.833333333333333,1.3333333333333333,97.58333333333333,83.0,12869.583333333334,8666.25,12.0,blue win,"Sylas , Akali",3.0,4.2,1.0,128.0,138.33333333333334,10969.0,9321.333333333334,0.0,blue win,"Ryze , Corki",3.0,5.5,2.25,163.0,161.0,11391.0,8288.0,6.0,blue win,"Xayah , Sivir",5.0,5.178571428571429,0.8214285714285714,139.28571428571428,133.52380952380952,17097.904761904763,16446.14285714286,2.0,blue win,"Morgana , Nautilus",1.1428571428571428,11.428571428571429,1.4285714285714286,7.5,22.0,8372.5,4993.0,6.0
1134632,blue win,"Skarner , Gragas",1.6666666666666667,8.0,0.6666666666666666,85.0,74.0,11270.666666666666,5348.666666666667,2.0,blue win,"Poppy , Irelia",3.0,10.0,3.0,103.0,130.0,12525.0,10709.0,0.0,blue win,"Sylas , Yasuo",5.5,6.5,2.5,140.0,135.0,14111.0,14995.0,-4.0,blue win,"Sivir , Varus",4.8,6.8,1.6,141.75,143.75,16632.0,21914.5,-2.0,blue win,"Nautilus , Braum",0.7777777777777778,9.88888888888889,2.2222222222222223,23.142857142857142,25.571428571428573,9117.57142857143,4878.857142857143,-2.0
1133789,blue win,"Sejuani , Olaf",1.9166666666666667,8.416666666666666,0.75,86.0909090909091,90.63636363636364,10443.727272727272,6971.363636363636,4.0,blue win,"Ornn , Jayce",1.5,4.5,2.5,123.5,139.0,9392.0,6606.5,-2.0,blue win,"Yasuo , Zoe",0.0,4.0,0.0,161.0,138.0,12247.0,3769.0,0.0,blue win,"Sona , Kai'Sa",7.5,2.0,0.0,87.5,139.5,13642.0,14824.5,2.0,blue win,"Tahm Kench , Lux",0.7391304347826086,8.652173913043478,1.2173913043478262,47.388888888888886,7.722222222222222,9531.5,4456.444444444444,-2.0
1131825,blue win,"Sejuani , Jarvan IV",2.3333333333333335,10.25,0.6666666666666666,88.44444444444444,87.0,11030.0,7369.666666666667,-4.0,blue win,"Poppy , Vladimir",3.0,4.0,0.0,121.0,145.0,10973.0,12458.0,0.0,blue win,"Sylas , Irelia",5.5,7.8,1.6,138.6,133.2,15847.4,21161.8,12.0,blue win,"Sivir , Xayah",4.444444444444445,6.481481481481482,0.6296296296296297,140.94736842105263,128.0,14864.894736842105,15417.842105263158,-2.0,blue win,"Thresh , Lux",1.0,7.666666666666667,1.0,5.0,6.0,8087.0,2175.0,2.0
1144643,blue win,"Trundle , Sejuani",1.5555555555555556,9.222222222222221,1.8888888888888888,82.13333333333334,81.26666666666667,11802.8,6344.933333333333,16.0,blue win,"Sylas , Gangplank",1.5,10.0,2.0,131.0,131.0,17561.0,39987.0,0.0,blue win,"Syndra , Ryze",3.6666666666666665,8.666666666666666,2.3333333333333335,155.0,139.0,16979.0,32060.0,2.0,blue win,"Xayah , Ezreal",5.8,5.0,1.15,142.33333333333334,132.83333333333334,17633.5,20947.444444444445,0.0,blue win,"Rakan , Tahm Kench",0.8,11.6,1.4666666666666666,5.6923076923076925,28.0,9215.0,6079.7692307692305,2.0
