gameid,league,playerid,gamelength,team,goldat10,oppgoldat10,gdat10,xpat10,oppxpat10,xpdat10,csat10,oppcsat10,csdat10,blue_result
1060564,LCK,100,24.2,Jin Air Green Wings,15669.0,15595.0,74.0,18324.0,19021.0,-697.0,332.0,317.0,15.0,"Blue , 0"
1060844,LCK,100,36.86666666666667,Griffin,16098.0,15637.0,461.0,19181.0,19315.0,-134.0,366.0,347.0,19.0,"Blue , 1"
1060866,LCK,100,28.85,SK Telecom T1,14596.0,18650.0,-4054.0,17471.0,20369.0,-2898.0,320.0,364.0,-44.0,"Blue , 0"
1060870,LCK,100,39.43333333333333,Gen.G,16226.0,16991.0,-765.0,18401.0,19222.0,-821.0,353.0,319.0,34.0,"Blue , 0"
1060904,LCK,100,41.3,KT Rolster,16260.0,16117.0,143.0,18507.0,18906.0,-399.0,324.0,323.0,1.0,"Blue , 0"
1060914,LCK,100,36.21666666666667,Gen.G,16442.0,15652.0,790.0,19162.0,18894.0,268.0,340.0,345.0,-5.0,"Blue , 1"
1061090,LCK,100,43.65,Kingzone DragonX,15051.0,16113.0,-1062.0,18382.0,18261.0,121.0,289.0,337.0,-48.0,"Blue , 1"
1051172,LCK,100,32.18333333333333,Damwon Gaming,15765.0,15420.0,345.0,18814.0,18991.0,-177.0,349.0,354.0,-5.0,"Blue , 0"
1061175,LCK,100,39.35,Jin Air Green Wings,16928.0,15323.0,1605.0,18288.0,18029.0,259.0,309.0,332.0,-23.0,"Blue , 0"
1061222,LCK,100,31.116666666666667,Hanwha Life Esports,16621.0,15531.0,1090.0,19153.0,17975.0,1178.0,326.0,330.0,-4.0,"Blue , 1"
1051364,LCK,100,36.38333333333333,Afreeca Freecs,14002.0,17260.0,-3258.0,17435.0,18839.0,-1404.0,301.0,345.0,-44.0,"Blue , 0"
1051373,LCK,100,29.733333333333334,KT Rolster,15772.0,15229.0,543.0,18842.0,18015.0,827.0,346.0,305.0,41.0,"Blue , 1"
1051379,LCK,100,33.96666666666667,Griffin,16427.0,15870.0,557.0,19303.0,19063.0,240.0,353.0,338.0,15.0,"Blue , 1"
