matchup,kills,deaths,assists,csat15,oppcsat15,total_gold,damage
"Ezreal , Sivir",3.8125,0.8125,6.4375,140.28571428571428,143.92857142857142,16329.142857142857,23168.0
"Ezreal , Sona",2.0,1.0,4.0,,,,
"Ezreal , Swain",7.0,4.0,6.0,135.0,125.0,14058.0,33016.0
"Ezreal , Syndra",4.0,0.0,7.0,139.0,149.0,12671.0,17745.0
"Ezreal , Varus",4.25,0.5,4.5,143.75,135.75,14217.5,20631.75
"Ezreal , Vayne",9.0,1.0,7.0,142.5,136.0,15544.5,31127.5
"Ezreal , Viktor",3.5,2.0,8.0,133.0,86.5,16594.5,37137.0
"Ezreal , Xayah",3.15,0.75,5.3,139.22222222222223,138.22222222222223,15121.722222222223,21010.833333333332
"Ezreal , Yasuo",8.0,2.0,5.0,112.0,123.0,14899.0,14013.0
"Fiddlesticks , Lux",0.0,1.0,10.0,,,,
"Fiddlesticks , Morgana",1.0,5.0,11.0,,,,
"Fiddlesticks , Tahm Kench",2.0,2.0,4.0,3.0,35.0,7554.0,7412.0
"Fiora , Aatrox",4.666666666666667,1.3333333333333333,3.0,137.0,127.6,15923.8,18521.4
"Fiora , Azir",1.0,2.0,1.0,99.0,148.0,11413.0,9069.0
"Fiora , Karma",2.0,0.0,4.0,,,,
"Fiora , Mordekaiser",1.0,2.0,5.0,,,,
"Fizz , Taliyah",5.0,4.0,7.0,130.0,136.0,18079.0,17866.0
"Galio , Braum",0.6666666666666666,2.6666666666666665,13.0,24.0,23.0,9584.0,6637.0
"Galio , Karma",1.0,0.0,9.0,67.0,12.0,12089.0,5415.0
"Galio , Lux",2.0,1.0,9.0,22.0,5.0,6919.0,3656.0
"Galio , Morgana",4.0,5.0,13.0,,,,
"Galio , Nautilus",1.1,2.6,12.3,22.333333333333332,26.333333333333332,10896.666666666666,5869.333333333333
"Galio , Pyke",2.0,4.0,12.0,31.0,5.0,8440.0,6789.0
"Galio , Rakan",0.5,3.0,9.666666666666666,25.75,6.0,8316.0,4139.75
"Galio , Shen",2.0,1.0,12.0,74.0,35.0,8994.0,5590.0
"Galio , Yuumi",0.0,0.0,9.0,,,,
"Gangplank , Aatrox",2.2,0.8,7.2,111.25,136.75,12693.0,15101.0
"Gangplank , Akali",5.0,2.0,3.0,,,,
"Gangplank , Camille",3.5,2.5,5.5,112.0,127.0,16698.0,21074.0
"Gangplank , Gnar",4.0,1.0,14.0,,,,
"Gangplank , Irelia",3.0,1.5,8.0,125.0,111.0,16147.0,26444.0
"Gangplank , Jayce",3.0,6.0,8.0,130.0,119.0,22063.0,38377.0
"Gangplank , Kennen",3.0,1.0,3.0,126.0,123.0,15220.0,22008.0
"Gangplank , Mordekaiser",2.0,0.0,12.0,,,,
"Gangplank , Neeko",3.0,3.0,14.0,,,,
"Gangplank , Renekton",1.75,2.5,8.75,116.0,125.5,14232.0,20657.0
"Gangplank , Rumble",3.0,1.0,4.0,,,,
"Gangplank , Sion",1.0,0.0,11.0,,,,
"Gangplank , Sylas",6.5,1.5,3.5,,,,
